num,timestamp,acc1,acc2,acc3,gyro1,gyro2,gyro3,orien1,orien2,orien3
5.0,2023-12-07 09:32:43.474732,10.8,-9.6,-11.600000000000001,131.2,146.0,-92.7,196.1,169.9,76.3
5.0,2023-12-07 09:32:43.960323,-6.900000000000002,0.30000000000000004,12.2,-18.5,-187.1,-173.5,270.3,25.4,-69.2
5.0,2023-12-07 09:32:44.464219,-4.199999999999999,-2.0,7.500000000000001,56.2,151.0,139.0,226.2,29.8,-46.6
6.0,2023-12-07 09:32:47.471617,2.3000000000000007,1.3999999999999995,3.6000000000000005,12.0,-55.8,-35.3,357.0,34.3,-46.5
6.0,2023-12-07 09:32:47.963969,-8.3,-12.5,7.799999999999999,-194.3,-254.8,-91.6,228.9,41.3,-8.9
6.0,2023-12-07 09:32:48.460048,2.5999999999999996,4.1,5.300000000000001,96.7,160.1,82.5,197.3,40.1,-24.7
7.0,2023-12-07 09:32:50.476154,9.4,-3.3,0.2999999999999998,-27.9,-174.0,-36.8,337.2,25.7,-13.6
7.0,2023-12-07 09:32:50.968821,-16.4,-7.1,16.5,-51.2,-62.7,-22.6,194.2,31.4,-46.1
7.0,2023-12-07 09:32:51.507540,29.4,4.8999999999999995,-16.1,167.8,181.4,114.7,11.6,11.5,-13.9
8.0,2023-12-07 09:32:52.487479,3.4000000000000004,-1.7999999999999998,-3.2,42.0,27.0,-5.0,18.3,12.9,-69.4
8.0,2023-12-07 09:32:52.990314,-14.100000000000001,-6.5,6.300000000000001,-244.9,-316.0,100.7,268.2,94.4,-10.1
8.0,2023-12-07 09:32:53.473321,28.7,0.3999999999999999,-4.1000000000000005,115.2,231.2,-14.6,338.8,-6.0,-77.9
9.0,2023-12-07 09:32:55.977426,-2.8,2.0,-2.3000000000000007,5.1,-3.4,-0.8,321.9,7.0,3.7
9.0,2023-12-07 09:32:56.468626,0.7,0.6000000000000001,1.0999999999999996,-1.6,0.8,1.9,324.4,8.9,3.8
9.0,2023-12-07 09:32:56.973510,0.8,0.40000000000000013,0.10000000000000142,0.5,1.5,1.8,325.2,12.1,-0.1
9.0,2023-12-07 09:32:57.455096,0.5,0.19999999999999973,0.0,0.5,1.5,1.8,325.2,12.1,-0.1
9.0,2023-12-07 09:32:57.573763,0.5,0.19999999999999973,0.0,-2.0,-3.4,-6.2,326.6,13.1,-1.3
10.0,2023-12-07 09:32:59.461304,0.7999999999999999,0.7999999999999998,-0.3000000000000007,8.3,5.6,2.3,310.0,20.3,6.8
10.0,2023-12-07 09:32:59.960847,-0.09999999999999998,0.20000000000000018,0.09999999999999964,-2.6,1.2,1.6,310.1,21.6,5.6
10.0,2023-12-07 09:33:00.462350,0.0,0.19999999999999973,-0.3999999999999986,-1.2,-0.5,2.6,310.0,23.2,5.3
10.0,2023-12-07 09:33:00.964379,0.09999999999999998,-0.19999999999999973,0.1999999999999993,0.7,-4.9,-9.1,308.8,22.1,5.3
11.0,2023-12-07 09:33:03.003144,2.4,-0.19999999999999973,0.3999999999999986,25.0,64.5,-32.5,342.2,16.4,-1.6
11.0,2023-12-07 09:33:03.495336,4.5,-29.9,-0.29999999999999893,-19.1,-613.5,-201.5,228.2,7.0,-2.7
11.0,2023-12-07 09:33:04.002737,23.1,23.1,9.799999999999999,-19.1,292.1,-8.5,21.4,-2.4,-0.6
12.0,2023-12-07 09:33:05.992288,2.4000000000000004,-8.700000000000001,-0.5,-5.0,318.0,59.9,257.1,21.7,-5.3
12.0,2023-12-07 09:33:06.505684,7.7,-14.299999999999999,1.8000000000000007,-60.3,-595.3,121.4,308.6,11.6,-4.5
12.0,2023-12-07 09:33:07.038969,2.9000000000000004,5.199999999999999,-2.6000000000000005,161.8,596.7,29.4,273.0,23.6,-10.9
12.0,2023-12-07 09:33:07.474754,-8.0,8.2,1.6000000000000005,-107.2,-406.7,12.0,285.6,23.9,-11.9
13.0,2023-12-07 09:33:08.000756,4.0,15.700000000000001,-2.7,82.4,188.6,93.1,255.1,39.8,-12.1
13.0,2023-12-07 09:33:08.493738,-15.2,-14.100000000000001,1.5,-129.1,-368.3,-44.0,146.1,42.8,57.9
13.0,2023-12-07 09:33:08.938575,10.2,-4.499999999999999,3.6000000000000005,169.6,467.4,-347.0,146.1,42.8,57.9
13.0,2023-12-07 09:33:09.059396,10.2,-4.499999999999999,3.6000000000000005,169.6,467.4,-347.0,233.3,22.8,16.1
13.0,2023-12-07 09:33:09.460162,-8.7,-2.9000000000000004,-3.9000000000000004,26.7,404.9,-248.0,233.3,22.8,16.1
13.0,2023-12-07 09:33:09.580386,-8.7,-2.9000000000000004,-3.9000000000000004,26.7,404.9,-248.0,159.1,11.1,38.9
13.0,2023-12-07 09:33:09.954778,2.9,4.4,2.6999999999999993,17.3,384.6,-128.5,146.4,14.9,37.4
15.0,2023-12-07 09:33:10.961039,2.9,1.1999999999999997,1.0,-5.1,15.1,26.8,303.1,13.8,-18.7
15.0,2023-12-07 09:33:11.462852,-9.1,-17.0,-3.8,-56.0,245.8,-166.7,153.6,22.5,29.3
15.0,2023-12-07 09:33:11.959900,25.0,10.2,-1.3000000000000003,-5.5,-1.6,427.7,317.9,17.4,1.6
15.0,2023-12-07 09:33:12.459620,-0.6999999999999993,-14.600000000000001,24.3,-273.5,145.6,158.9,214.6,-29.1,-56.4
16.0,2023-12-07 09:33:13.975092,-0.39999999999999997,-0.6000000000000005,0.10000000000000053,-1.9,13.7,9.0,260.7,35.8,-4.7
16.0,2023-12-07 09:33:14.469273,-1.6999999999999997,-6.8999999999999995,-8.6,-196.1,-238.9,5.9,231.0,38.5,8.7
16.0,2023-12-07 09:33:15.058539,23.0,-17.3,14.5,37.6,-94.1,289.6,293.9,-29.5,-56.6
16.0,2023-12-07 09:33:15.443866,-23.0,11.700000000000001,-14.100000000000001,37.6,-94.1,289.6,293.9,-29.5,-56.6
16.0,2023-12-07 09:33:15.562916,-23.0,11.700000000000001,-14.100000000000001,-338.2,27.6,-156.3,203.5,39.6,18.0
17.0,2023-12-07 09:33:17.002551,5.2,0.40000000000000036,-4.6,-4.6,51.2,17.4,260.8,42.1,-24.0
17.0,2023-12-07 09:33:17.493514,1.2999999999999998,-17.2,3.9000000000000004,-312.9,247.0,-37.8,200.5,45.3,-65.0
17.0,2023-12-07 09:33:17.984714,12.2,-10.3,-9.8,12.5,-317.9,150.9,337.6,-17.6,-75.4
18.0,2023-12-07 09:33:19.459477,-0.4,-0.7000000000000002,-1.2000000000000002,-16.3,-37.8,-21.7,226.6,39.1,-13.0
18.0,2023-12-07 09:33:19.968679,8.4,-15.399999999999999,10.100000000000001,-139.3,-57.8,-364.4,226.6,39.1,-13.0
18.0,2023-12-07 09:33:20.137095,8.4,-15.399999999999999,10.100000000000001,-139.3,-57.8,-364.4,162.3,11.3,-16.9
18.0,2023-12-07 09:33:20.487106,5.5,3.8,-29.8,181.4,47.9,287.9,153.3,164.6,51.4
18.0,2023-12-07 09:33:20.971861,-13.8,3.8,32.9,15.5,-53.0,172.6,189.9,29.8,-30.1
18.0,2023-12-07 09:33:21.460363,22.0,-7.1,-30.9,-243.9,-98.1,-357.8,183.9,153.4,68.5
18.0,2023-12-07 09:33:21.960672,-18.2,-5.300000000000001,26.0,150.2,114.6,430.3,174.8,29.7,-25.3
19.0,2023-12-07 09:33:23.529359,14.3,-7.499999999999999,29.9,38.9,3.5,164.2,342.4,-36.2,-9.8
19.0,2023-12-07 09:33:23.998347,-12.2,-1.3000000000000007,-44.3,-168.6,367.2,-332.6,197.7,37.5,43.2
19.0,2023-12-07 09:33:24.469873,4.6,-11.7,-3.5,86.3,-379.5,552.5,255.7,44.5,21.4
19.0,2023-12-07 09:33:24.986132,24.700000000000003,19.4,58.3,98.1,362.2,-136.9,294.5,-44.7,0.1
20.0,2023-12-07 09:33:26.108795,-0.6000000000000001,9.3,-0.5,-50.9,108.0,27.9,323.9,-31.2,-2.3
20.0,2023-12-07 09:33:26.487833,2.9,-12.2,-1.7999999999999998,-6.8,-505.2,25.6,275.4,-7.2,-12.4
20.0,2023-12-07 09:33:26.994781,19.7,3.5,-24.8,390.9,-2.0,333.5,193.9,147.7,84.2
20.0,2023-12-07 09:33:27.479232,-29.8,-12.499999999999998,37.9,-61.1,152.3,283.0,212.1,-11.5,-35.9
20.0,2023-12-07 09:33:27.958402,15.3,-3.3000000000000007,-13.299999999999999,-77.0,-697.9,-260.8,306.6,0.4,-12.8
21.0,2023-12-07 09:33:28.983310,-2.1999999999999993,3.3000000000000003,-6.6000000000000005,-323.5,-10.1,110.7,5.2,-8.5,-39.0
21.0,2023-12-07 09:33:29.477991,3.5999999999999996,-13.9,-9.899999999999999,-219.1,-216.2,-476.5,227.0,131.3,24.4
21.0,2023-12-07 09:33:29.980015,1.1999999999999993,6.000000000000001,-14.299999999999999,-168.0,55.0,-294.8,260.3,153.7,47.1
21.0,2023-12-07 09:33:30.526861,19.2,-11.099999999999998,16.7,451.6,142.9,663.6,170.4,109.3,76.4
21.0,2023-12-07 09:33:31.086929,-9.299999999999997,23.9,10.5,-82.3,-269.7,168.1,338.1,11.8,-5.1
21.0,2023-12-07 09:33:31.647869,3.1999999999999993,-5.2,7.699999999999999,-22.1,377.2,-143.2,345.8,-5.2,3.0
22.0,2023-12-07 09:33:33.098449,3.6000000000000005,5.4,-1.8000000000000007,-45.0,45.3,-22.1,354.6,7.4,-29.7
22.0,2023-12-07 09:33:33.479970,-0.5,-7.4,-9.5,-437.1,-177.5,-19.8,1.9,59.5,-78.1
22.0,2023-12-07 09:33:34.019721,13.9,0.3999999999999999,8.9,90.0,213.6,178.5,101.1,-172.6,87.6
23.0,2023-12-07 09:33:35.471705,7.1,-0.8000000000000007,-4.2,-30.9,5.7,15.6,177.9,133.4,79.8
23.0,2023-12-07 09:33:35.992397,-11.0,-4.3,5.1,-199.3,2.9,-85.3,179.6,97.3,28.2
23.0,2023-12-07 09:33:36.502571,17.0,-13.7,-10.0,-229.4,-162.4,269.5,144.5,-160.1,57.0
23.0,2023-12-07 09:33:37.004361,-14.5,8.4,1.3999999999999995,-166.7,-54.3,-144.1,226.9,142.0,-2.2
24.0,2023-12-07 09:33:38.469549,-9.1,-7.6,-7.1,-59.4,-136.6,47.0,191.7,154.5,-65.1
24.0,2023-12-07 09:33:38.971751,16.3,-4.8,3.7,113.8,338.8,106.1,110.1,128.6,1.1
24.0,2023-12-07 09:33:39.488087,0.5,-12.299999999999999,-12.899999999999999,-108.6,-301.3,59.5,183.0,-169.7,38.5
24.0,2023-12-07 09:33:39.986815,-10.7,17.7,14.2,-128.2,73.6,-70.6,233.1,127.6,-45.7
25.0,2023-12-07 09:33:42.993704,-0.2,-1.1,0.9000000000000004,36.7,69.5,62.0,64.9,2.9,-3.1
25.0,2023-12-07 09:33:43.493758,1.1,-2.4000000000000004,2.5,0.7,30.3,-66.3,88.3,-8.9,0.9
25.0,2023-12-07 09:33:44.002486,-2.9000000000000004,1.3000000000000003,-1.6999999999999993,-3.9,37.6,8.8,95.2,-8.0,3.8
26.0,2023-12-07 09:33:45.997600,-0.10000000000000009,-0.4999999999999999,0.5999999999999996,4.3,-4.0,16.0,101.5,-6.5,26.5
26.0,2023-12-07 09:33:46.506741,-1.6,-0.30000000000000004,1.6000000000000014,72.2,-2.4,180.6,72.2,14.5,18.7
26.0,2023-12-07 09:33:47.001317,11.5,2.2,-10.4,214.6,30.4,-195.6,182.9,57.7,-24.0
26.0,2023-12-07 09:33:47.520114,-18.7,-9.4,10.7,-65.3,-177.4,130.2,113.7,-28.3,34.4
27.0,2023-12-07 09:33:49.537559,0.4,-0.09999999999999964,-0.39999999999999947,-0.7,-6.3,-7.4,130.5,56.2,-1.9
27.0,2023-12-07 09:33:49.960261,2.9,-3.8999999999999995,-3.1,-37.7,-89.2,-10.7,113.1,59.5,0.0
27.0,2023-12-07 09:33:50.467836,-17.9,-9.3,22.9,-4.7,10.0,-15.5,80.0,-32.4,28.5
27.0,2023-12-07 09:33:51.005388,33.0,2.3,-32.4,245.5,-49.2,144.2,244.9,55.6,-84.5
27.0,2023-12-07 09:33:51.460077,-30.0,-4.9,25.4,-101.8,156.8,181.2,244.9,55.6,-84.5
27.0,2023-12-07 09:33:51.597036,-30.0,-4.9,25.4,-101.8,156.8,181.2,140.2,-15.2,15.4
28.0,2023-12-07 09:33:55.493991,-7.5,-8.3,1.3999999999999995,109.7,305.2,-135.0,139.8,16.3,5.4
28.0,2023-12-07 09:33:56.005040,3.5,-9.9,3.0999999999999996,-77.1,-392.1,223.0,171.8,8.9,35.1
28.0,2023-12-07 09:33:56.512329,-3.8000000000000007,9.9,-3.0999999999999996,142.3,220.0,-47.4,69.0,9.2,20.1
28.0,2023-12-07 09:33:56.971336,14.600000000000001,-3.5000000000000004,2.200000000000001,52.0,-87.5,16.1,162.3,-6.4,15.0
29.0,2023-12-07 09:33:58.480565,-1.4,-0.7999999999999998,-1.5,11.5,-30.1,16.7,58.6,-1.9,2.6
29.0,2023-12-07 09:33:58.963974,2.2,1.2999999999999998,1.5,-18.2,-26.8,-13.5,48.6,-3.7,-0.1
29.0,2023-12-07 09:33:59.467891,-0.49999999999999994,-1.7999999999999998,-0.5,-15.1,-12.9,-12.9,40.2,-12.4,-3.8
29.0,2023-12-07 09:33:59.958216,-0.5,0.7,0.5999999999999996,56.7,-54.8,-15.9,31.6,-10.6,3.7
29.0,2023-12-07 09:34:00.458373,-0.10000000000000003,-0.9000000000000001,-0.5999999999999996,-14.0,-16.3,-22.7,23.3,-11.9,7.0
29.0,2023-12-07 09:34:00.984235,-0.9,0.10000000000000009,-1.200000000000001,54.5,25.8,0.2,15.5,-12.5,3.4
30.0,2023-12-07 09:34:02.473591,-0.09999999999999998,-0.5,-1.0,2.4,-29.7,-1.6,38.9,-14.6,9.1
30.0,2023-12-07 09:34:02.983690,-0.7,0.10000000000000009,0.9000000000000004,10.8,-98.7,40.4,3.9,-12.8,8.7
30.0,2023-12-07 09:34:03.463730,-0.30000000000000004,0.8999999999999999,0.40000000000000036,0.8,-47.5,-0.9,321.7,-7.3,2.2
30.0,2023-12-07 09:34:03.966561,0.0,-0.30000000000000027,-1.0999999999999996,-4.4,55.1,-2.0,324.9,-4.7,3.7
30.0,2023-12-07 09:34:04.475520,-2.3,-0.19999999999999973,-1.4000000000000004,-32.9,104.1,-24.9,2.1,-6.8,5.6
30.0,2023-12-07 09:34:05.005018,0.0,-2.9,1.0999999999999996,-24.8,238.4,7.0,96.1,-9.6,3.8
30.0,2023-12-07 09:34:05.487944,3.6999999999999997,1.2000000000000002,-0.5999999999999996,-2.6,45.9,31.9,165.9,-20.9,3.7
30.0,2023-12-07 09:34:05.964404,1.1,-0.6000000000000005,-0.40000000000000036,11.3,-42.1,-4.8,169.6,-21.5,4.0
31.0,2023-12-07 09:34:06.947859,1.0999999999999999,-0.09999999999999964,0.0,40.1,-132.1,-10.1,124.1,-25.0,-1.6
31.0,2023-12-07 09:34:07.077227,1.0999999999999999,-0.09999999999999964,0.0,21.8,-55.9,5.6,78.8,-22.0,-2.8
31.0,2023-12-07 09:34:07.479109,-1.3,0.5,0.5999999999999996,86.5,-152.7,43.1,20.1,-18.5,-3.2
31.0,2023-12-07 09:34:07.983526,-4.800000000000001,3.9,0.5999999999999996,-21.8,3.5,-11.0,310.9,-8.7,6.7
31.0,2023-12-07 09:34:08.486438,4.7,-4.300000000000001,-2.299999999999999,-150.9,180.6,-137.1,29.6,-11.9,3.1
31.0,2023-12-07 09:34:08.984851,0.4,0.0,2.6999999999999993,-14.1,-17.3,-110.0,71.5,-35.9,-6.6
32.0,2023-12-07 09:34:10.487422,1.1999999999999997,-1.4000000000000004,-2.5000000000000004,33.9,-86.0,-81.9,35.6,-47.3,-26.9
32.0,2023-12-07 09:34:10.972801,-1.0,2.9000000000000004,4.0,-12.0,53.0,37.4,0.7,-35.5,-18.2
32.0,2023-12-07 09:34:11.470681,-0.2999999999999998,0.0,-0.10000000000000053,9.9,-16.7,-5.8,7.7,-37.1,-16.4
32.0,2023-12-07 09:34:11.980645,0.0,-0.20000000000000018,-0.20000000000000018,3.7,-10.2,-3.2,1.2,-37.0,-16.9
32.0,2023-12-07 09:34:12.491477,-1.1,-0.7999999999999998,-0.2999999999999998,-11.5,61.3,37.3,7.9,-38.1,-17.6
33.0,2023-12-07 09:34:16.077555,-6.300000000000001,-5.699999999999999,-2.5999999999999996,66.0,257.9,-92.2,5.3,14.1,21.3
33.0,2023-12-07 09:34:16.559039,2.3000000000000003,4.5,0.9000000000000004,-54.2,-105.5,-66.6,36.9,12.4,-2.9
33.0,2023-12-07 09:34:16.958576,13.4,-5.2,-1.0,-21.0,-220.1,77.6,36.9,12.4,-2.9
33.0,2023-12-07 09:34:17.085926,13.4,-5.2,-1.0,-21.0,-220.1,77.6,77.6,3.0,3.9
33.0,2023-12-07 09:34:17.459294,-6.3,-3.9999999999999996,0.29999999999999893,45.9,197.6,-77.2,90.9,0.4,2.9
33.0,2023-12-07 09:34:18.051000,-19.3,9.2,6.9,-15.3,-48.6,25.1,19.8,5.0,-2.4
33.0,2023-12-07 09:34:18.522738,23.799999999999997,-3.6,-4.1,21.1,196.4,-34.4,81.2,1.5,8.6
33.0,2023-12-07 09:34:18.994469,-16.4,-4.7,-3.0,15.5,357.8,30.2,35.9,4.4,-7.8
34.0,2023-12-07 09:34:21.959844,0.6,-0.1,0.5,7.7,-17.0,6.1,77.2,-0.2,-2.5
34.0,2023-12-07 09:34:22.462165,-1.3,3.7,1.0999999999999996,-17.9,-132.2,7.4,54.9,3.4,-0.5
34.0,2023-12-07 09:34:22.944383,11.299999999999999,-3.3,-4.2,-17.9,-132.2,7.4,54.9,3.4,-0.5
34.0,2023-12-07 09:34:23.062599,11.299999999999999,-3.3,-4.2,8.8,-56.1,15.3,62.2,2.7,-4.4
34.0,2023-12-07 09:34:23.448512,-4.199999999999999,-0.8999999999999999,1.3999999999999995,-6.5,-18.2,37.3,60.3,6.7,-5.2
34.0,2023-12-07 09:34:23.985836,-10.2,2.8,1.0999999999999996,10.9,97.5,15.6,35.6,7.4,-4.1
35.0,2023-12-07 09:34:27.962342,-0.3999999999999999,0.2999999999999998,2.3000000000000007,46.2,-1.4,60.3,44.7,21.5,15.4
35.0,2023-12-07 09:34:28.494353,1.0999999999999999,-2.7,-8.5,-15.9,-104.8,245.0,328.4,67.3,66.2
35.0,2023-12-07 09:34:28.975807,-7.999999999999999,-9.0,-16.599999999999998,9.9,-45.0,-126.5,99.7,-161.3,-21.7
35.0,2023-12-07 09:34:29.462550,5.6,6.300000000000001,3.6999999999999993,-21.3,140.7,-54.0,41.0,179.5,-23.8
35.0,2023-12-07 09:34:29.962190,3.1999999999999997,-7.300000000000001,-7.899999999999999,33.4,-378.4,-132.8,111.3,-177.9,8.4
35.0,2023-12-07 09:34:30.466915,2.2,18.3,19.299999999999997,59.2,33.3,-113.3,159.4,83.9,-20.6
35.0,2023-12-07 09:34:30.978945,-1.9,-1.2999999999999998,5.699999999999999,18.4,26.4,40.0,147.3,49.6,8.4
35.0,2023-12-07 09:34:31.469403,-1.9,-3.1000000000000005,-9.2,-151.6,-75.6,244.4,167.9,123.0,-21.7
36.0,2023-12-07 09:34:32.955970,-1.5,-16.5,6.6,-63.3,-224.4,-71.0,353.2,-41.9,79.5
36.0,2023-12-07 09:34:33.451008,-1.7000000000000002,2.3999999999999986,0.8999999999999999,-20.4,119.2,86.5,305.4,-97.3,44.8
36.0,2023-12-07 09:34:33.957050,4.6000000000000005,1.3000000000000007,-6.6,-30.3,35.4,39.3,350.7,-33.0,47.7
36.0,2023-12-07 09:34:34.452420,-3.7,-1.5,4.0,30.3,-87.2,-26.2,349.1,-76.3,51.6
36.0,2023-12-07 09:34:34.957332,3.2,1.1999999999999993,0.8,-35.7,15.3,15.7,349.1,-76.3,51.6
36.0,2023-12-07 09:34:35.078135,3.2,1.1999999999999993,0.8,-35.7,15.3,15.7,7.1,-65.0,57.2
37.0,2023-12-07 09:34:35.956766,-0.6000000000000001,-0.3000000000000007,-2.0999999999999996,-2.2,17.8,-8.5,4.8,-66.8,60.7
37.0,2023-12-07 09:34:36.466545,1.1,-0.3999999999999986,-0.3999999999999999,44.8,-38.1,-20.6,4.8,-66.8,60.7
37.0,2023-12-07 09:34:36.585241,1.1,-0.3999999999999986,-0.3999999999999999,44.8,-38.1,-20.6,5.8,-60.2,70.4
37.0,2023-12-07 09:34:36.955500,-1.5,-0.5,0.8,-2.2,60.8,43.9,241.9,-101.2,-51.3
37.0,2023-12-07 09:34:37.461943,1.5,1.299999999999999,-1.3,-3.6,41.4,26.6,241.9,-101.2,-51.3
37.0,2023-12-07 09:34:37.580530,1.5,1.299999999999999,-1.3,-3.6,41.4,26.6,359.6,-50.8,56.1
37.0,2023-12-07 09:34:37.958253,-1.7000000000000002,-1.0999999999999996,0.39999999999999997,60.3,-71.0,-31.3,2.1,-68.3,66.3
37.0,2023-12-07 09:34:38.458829,1.4,0.3000000000000007,1.3,-55.3,27.2,38.7,30.2,-73.8,83.3
38.0,2023-12-07 09:34:39.970024,-0.7000000000000002,0.5999999999999996,0.7999999999999998,6.4,41.1,8.7,21.0,-67.7,78.9
38.0,2023-12-07 09:34:40.459597,3.5,1.2000000000000002,-4.1,-26.0,25.7,-18.2,356.1,-30.3,66.0
38.0,2023-12-07 09:34:40.955180,-3.5,-2.8999999999999995,4.2,81.0,-88.6,-77.4,356.2,-69.2,62.8
38.0,2023-12-07 09:34:41.459223,1.7000000000000002,-0.10000000000000142,-2.4,-103.5,79.2,93.4,15.8,-76.7,73.1
38.0,2023-12-07 09:34:42.003167,0.6999999999999997,2.0,1.4,27.4,-44.2,-48.6,2.0,-44.9,58.7
38.0,2023-12-07 09:34:42.510076,-3.4,-0.7999999999999989,1.8000000000000003,-22.4,-19.4,-46.8,255.4,-98.0,-44.9
38.0,2023-12-07 09:34:42.980170,2.1,-0.5,-2.5,42.6,51.9,100.0,7.6,-60.0,48.4
39.0,2023-12-07 09:34:44.524349,-0.5,0.40000000000000036,-0.6,18.5,25.9,20.0,3.0,-52.8,67.6
39.0,2023-12-07 09:34:44.994161,-1.7000000000000002,-2.200000000000001,1.7999999999999998,-34.2,-73.8,-132.7,251.9,-100.2,-41.2
39.0,2023-12-07 09:34:45.477731,1.9,-0.29999999999999893,-3.0,-18.2,76.9,131.4,7.2,-59.7,53.0
39.0,2023-12-07 09:34:45.998554,-0.2999999999999998,0.09999999999999964,0.8999999999999999,-58.4,-113.0,-27.6,19.6,-55.8,73.1
39.0,2023-12-07 09:34:46.493651,-2.0000000000000004,0.5999999999999996,1.8,-34.3,70.4,48.1,254.1,-98.1,-36.4
40.0,2023-12-07 09:34:48.463464,-1.4,0.20000000000000107,1.5999999999999999,6.8,11.3,-10.9,4.2,-55.3,59.0
40.0,2023-12-07 09:34:48.969136,1.7000000000000002,-1.9000000000000004,-1.9,31.3,-43.8,-35.7,7.1,-64.1,68.0
40.0,2023-12-07 09:34:49.467154,-2.6000000000000005,-0.40000000000000036,2.2,-54.9,52.2,73.1,296.9,-101.2,-4.6
40.0,2023-12-07 09:34:49.976278,4.5,1.8000000000000007,-2.9000000000000004,-1.6,4.1,-27.4,12.0,-43.1,54.9
40.0,2023-12-07 09:34:50.466186,-4.3,-0.9000000000000004,1.2,-0.2,-24.0,-40.8,222.1,-97.2,-80.8
40.0,2023-12-07 09:34:50.966961,3.9000000000000004,-4.4,-4.5,57.3,202.3,192.1,9.3,-26.1,54.8
41.0,2023-12-07 09:34:52.456277,-3.6000000000000005,9.499999999999998,-1.0,1.6,-226.1,28.2,356.5,-9.7,65.8
41.0,2023-12-07 09:34:52.965237,0.8000000000000007,1.200000000000001,-0.19999999999999996,8.5,192.4,4.9,356.5,-9.7,65.8
41.0,2023-12-07 09:34:53.086268,0.8000000000000007,1.200000000000001,-0.19999999999999996,8.5,192.4,4.9,353.3,-1.9,72.4
41.0,2023-12-07 09:34:53.463574,-11.299999999999999,-5.900000000000002,-3.5999999999999996,53.3,-268.4,97.7,345.7,-51.3,64.2
42.0,2023-12-07 09:34:54.487374,4.6000000000000005,20.900000000000002,-0.20000000000000018,-39.7,-38.2,-32.8,9.7,35.9,68.5
